Weeks,Adds,Subs,Year,Date
1546732800,4089,-3282,2019,2019-01-06
1547337600,2266,-1833,2019,2019-01-13
1547942400,370,-331,2019,2019-01-20
1548547200,1429,-758,2019,2019-01-27
1549152000,1815,-1463,2019,2019-02-03
1549756800,46562,-8542,2019,2019-02-10
1550361600,2307,-1142,2019,2019-02-17
1550966400,806,-533,2019,2019-02-24
1551571200,11726,-6693,2019,2019-03-03
1552176000,27090,-6587,2019,2019-03-10
1552780800,11958,-5467,2019,2019-03-17
1553385600,541,-587,2019,2019-03-24
1553990400,10217,-7928,2019,2019-03-31
1554595200,171382,-66024,2019,2019-04-07
1555200000,2693,-1375,2019,2019-04-14
1555804800,18228,-5814,2019,2019-04-21
1556409600,474,-145,2019,2019-04-28
1557014400,582,-100,2019,2019-05-05
1557619200,702,-273,2019,2019-05-12
1558224000,1925,-684,2019,2019-05-19
1558828800,913,-2047,2019,2019-05-26
1559433600,1133,-862,2019,2019-06-02
1560038400,327,-123,2019,2019-06-09
1560643200,779,-1451,2019,2019-06-16
1561248000,41318,-10064,2019,2019-06-23
1561852800,109,-82,2019,2019-06-30
1562457600,357,-219,2019,2019-07-07
1563062400,417,-301,2019,2019-07-14
1563667200,162,-226,2019,2019-07-21
1564272000,2278,-1611,2019,2019-07-28
1564876800,4274,-2642,2019,2019-08-04
1565481600,4155,-628,2019,2019-08-11
1566086400,1048,-501,2019,2019-08-18
1566691200,24993,-11440,2019,2019-08-25
1567296000,1173,-237,2019,2019-09-01
1567900800,7155,-7268,2019,2019-09-08
1568505600,234,-123,2019,2019-09-15
1569110400,964,-1730,2019,2019-09-22
1569715200,15801,-8344,2019,2019-09-29
1570320000,2859,-1233,2019,2019-10-06
1570924800,1081,-916,2019,2019-10-13
1571529600,2376,-564,2019,2019-10-20
1572134400,6178,-4933,2019,2019-10-27
1572739200,447,-279,2019,2019-11-03
1573344000,30,-71,2019,2019-11-10
1573948800,6,-2,2019,2019-11-17
1574553600,2745,-1852,2019,2019-11-24
1575158400,41069,-36791,2019,2019-12-01
1575763200,18116,-5473,2019,2019-12-08
1576368000,12,-2,2019,2019-12-15
1576972800,4,-4,2019,2019-12-22
1577577600,61,-81,2019,2019-12-29
1578182400,21771,-5998,2020,2020-01-05
1578787200,8305,-158,2020,2020-01-12
1579392000,2127,-2033,2020,2020-01-19
1579996800,769,-3652,2020,2020-01-26
1580601600,24372,-14050,2020,2020-02-02
1581206400,1940,-794,2020,2020-02-09
1581811200,276,-527,2020,2020-02-16
1582416000,145731,-45457,2020,2020-02-23
1583020800,653,-493,2020,2020-03-01
1583625600,22848,-6184,2020,2020-03-08
1584230400,312,-116,2020,2020-03-15
1584835200,106,-11,2020,2020-03-22
1585440000,544,-234,2020,2020-03-29
1586044800,78226,-421,2020,2020-04-05
1586649600,2716,-2207,2020,2020-04-12
1587254400,89,-28,2020,2020-04-19
1587859200,1224,-453,2020,2020-04-26
1588464000,19618,-92449,2020,2020-05-03
1589068800,551,-84,2020,2020-05-10
1589673600,260,-230,2020,2020-05-17
1590278400,265,-173,2020,2020-05-24
1590883200,155,-7277,2020,2020-05-31
1591488000,250,-88,2020,2020-06-07
1592092800,13884,-654,2020,2020-06-14
1592697600,55,-504,2020,2020-06-21
1593302400,1980,-740,2020,2020-06-28
1593907200,489,-247,2020,2020-07-05
1594512000,324,-594,2020,2020-07-12
1595116800,7083,-2839,2020,2020-07-19
1595721600,4952,-2303,2020,2020-07-26
1596326400,105,-42,2020,2020-08-02
1596931200,3060,-2759,2020,2020-08-09
1597536000,48,-47,2020,2020-08-16
1598140800,904,-2466,2020,2020-08-23
1598745600,49201,-105260,2020,2020-08-30
1599350400,1302,-11687,2020,2020-09-06
1599955200,7345,-10751,2020,2020-09-13
1600560000,1064,-316,2020,2020-09-20
1601164800,4535,-186,2020,2020-09-27
1601769600,174,-90,2020,2020-10-04
1602374400,778,-557,2020,2020-10-11
1602979200,2976,-3549,2020,2020-10-18
1603584000,2255,-2391,2020,2020-10-25
1604188800,525,-425,2020,2020-11-01
1604793600,18292,-6777,2020,2020-11-08
1605398400,20212,-13708,2020,2020-11-15
1606003200,409,-370,2020,2020-11-22
1606608000,387,-1481,2020,2020-11-29
1607212800,11569,-30,2020,2020-12-06
1607817600,1085,-641,2020,2020-12-13
1608422400,83,-17,2020,2020-12-20
1609027200,0,0,2020,2020-12-27
1609632000,193,-61,2021,2021-01-03
1610236800,87,-26,2021,2021-01-10
1610841600,646,-81,2021,2021-01-17
1611446400,5273,-1607,2021,2021-01-24
1612051200,378,-22,2021,2021-01-31
1612656000,919,-840,2021,2021-02-07
1613260800,274,-83,2021,2021-02-14
1613865600,596,-132,2021,2021-02-21
1614470400,143,-34,2021,2021-02-28
1615075200,1835,-967,2021,2021-03-07
1615680000,839,-7666,2021,2021-03-14
1616284800,172,-328,2021,2021-03-21
1616889600,4775,-16387,2021,2021-03-28
1617494400,82639,-498330,2021,2021-04-04
1618099200,322,-118,2021,2021-04-11
1618704000,28,-17,2021,2021-04-18
1619308800,4132,-46184,2021,2021-04-25
1619913600,30,-284,2021,2021-05-02
1620518400,111,-47,2021,2021-05-09
1621123200,360,-97,2021,2021-05-16
1621728000,5094,-4703,2021,2021-05-23
1622332800,8359,-8992,2021,2021-05-30
1622937600,1754,-2280,2021,2021-06-06
1623542400,987,-7404,2021,2021-06-13
1624147200,952,-377,2021,2021-06-20
1624752000,1063,-773,2021,2021-06-27
1625356800,3368,-3355,2021,2021-07-04
1625961600,4134,-1636,2021,2021-07-11
1626566400,2504,-1213,2021,2021-07-18
1627171200,595,-690,2021,2021-07-25
1627776000,82,-61,2021,2021-08-01
1628380800,297,-219,2021,2021-08-08
1628985600,741,-705,2021,2021-08-15
1629590400,9548,-20815,2021,2021-08-22
1630195200,127,-80,2021,2021-08-29
1630800000,109,-3,2021,2021-09-05
1631404800,98,-15,2021,2021-09-12
1632009600,61,-53,2021,2021-09-19
1632614400,59,-34,2021,2021-09-26
1633219200,26,-57,2021,2021-10-03
1633824000,292,-1617,2021,2021-10-10
1634428800,81,-38,2021,2021-10-17
1635033600,3,-2,2021,2021-10-24
1635638400,833,-314,2021,2021-10-31
1636243200,5203,-4631,2021,2021-11-07
1636848000,979,-1837,2021,2021-11-14
1637452800,159,-57,2021,2021-11-21
1638057600,12790,-4413,2021,2021-11-28
1638662400,88,-6,2021,2021-12-05
1639267200,1076,-9817,2021,2021-12-12
1639872000,120930,-19360,2021,2021-12-19
1640476800,0,-11,2021,2021-12-26
1641081600,105,-55,2022,2022-01-02
1641686400,1343,-40471,2022,2022-01-09
1642291200,399,-400,2022,2022-01-16
1642896000,203,-7666,2022,2022-01-23
1643500800,37,-49,2022,2022-01-30
1644105600,5137,-1701,2022,2022-02-06
1644710400,13539,-41933,2022,2022-02-13
1645315200,10596,-6636,2022,2022-02-20
1645920000,2754,-1716,2022,2022-02-27
1646524800,144692,-65419,2022,2022-03-06
1647129600,62817,-14485,2022,2022-03-13
1647734400,4620,-1150,2022,2022-03-20
1648339200,4,-4,2022,2022-03-27
